filename,wwr,dominant_material,status,pct_acm,pct_brick,pct_dec_stone,pct_fibercement,pct_metal,pct_stucco,pct_vinyl
426 E FLORA ST.jpg,0.16699999570846558,brick,success,0.0,100.0,0.0,0.0,0.0,0.0,0.0
701 BELGRADE ST.jpg,0.0,brick,success,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2356 E GORDON ST.jpg,0.0,brick,success,0.0,100.0,0.0,0.0,0.0,0.0,0.0
1416 E PALMER ST.jpg,0.10499999672174454,brick,success,0.0,70.9000015258789,0.0,0.0,0.0,0.0,29.100000381469727
420 E FLORA ST.jpg,0.15700000524520874,brick,success,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2012 TULIP ST.jpg,0.16500000655651093,brick,success,0.0,100.0,0.0,0.0,0.0,0.0,0.0
1237 SHACKAMAXON ST.jpg,0.13600000739097595,brick,success,0.0,100.0,0.0,0.0,0.0,0.0,0.0
1430 E PALMER ST.jpg,0.11599999666213989,stucco,success,0.0,0.0,0.0,0.0,0.0,100.0,0.0
441 MILLER ST.jpg,0.15000000596046448,brick,success,0.0,100.0,0.0,0.0,0.0,0.0,0.0
1410 E PALMER ST.jpg,0.07400000095367432,brick,success,0.0,100.0,0.0,0.0,0.0,0.0,0.0
1245 E PALMER ST.jpg,0.07199999690055847,brick,success,0.0,100.0,0.0,0.0,0.0,0.0,0.0
413 E GIRARD AVE.jpg,,,no_detections,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2043 BLAIR ST.jpg,0.019999999552965164,stucco,success,0.0,7.599999904632568,0.0,33.599998474121094,0.0,58.79999923706055,0.0
2607 E NORRIS ST.jpg,0.23199999332427979,brick,success,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2606 E DAUPHIN ST.jpg,0.07999999821186066,vinyl,success,0.0,0.0,0.0,0.0,0.0,49.900001525878906,50.099998474121094
409 E GIRARD AVE.jpg,0.26100000739097595,brick,success,0.0,100.0,0.0,0.0,0.0,0.0,0.0
608 GAUL ST.jpg,0.19300000369548798,brick,success,0.0,100.0,0.0,0.0,0.0,0.0,0.0
1241 SHACKAMAXON ST.jpg,0.1770000010728836,brick,success,0.0,100.0,0.0,0.0,0.0,0.0,0.0
538 E CABOT ST.jpg,0.11699999868869781,brick,success,0.0,55.5,0.0,0.0,0.0,44.5,0.0
2307 MEMPHIS ST.jpg,0.1289999932050705,brick,success,0.0,61.79999923706055,0.0,0.0,0.0,0.0,38.20000076293945
1255 E PALMER ST.jpg,0.17000000178813934,brick,success,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2213 CEDAR ST.jpg,,,no_materials_found,0.0,0.0,0.0,0.0,0.0,0.0,0.0
447 BELGRADE ST.jpg,0.09799999743700027,brick,success,0.0,100.0,0.0,0.0,0.0,0.0,0.0
1242 LEOPARD ST.jpg,0.13699999451637268,brick,success,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2037 BLAIR ST.jpg,0.13899999856948853,brick,success,0.0,100.0,0.0,0.0,0.0,0.0,0.0
1863 FRANKFORD AVE.jpg,0.08699999749660492,brick,success,0.0,100.0,0.0,0.0,0.0,0.0,0.0
844 ALMOND ST.jpg,0.18199999630451202,brick,success,0.0,100.0,0.0,0.0,0.0,0.0,0.0
1413 E BERKS ST.jpg,0.13099999725818634,brick,success,0.0,100.0,0.0,0.0,0.0,0.0,0.0
